CODFILIAL,CATEGORIA,CATEGORIA2,SEGMENTO,Jan_FAT,Fev_FAT,Mar_FAT,Abr_FAT,TOTAL_FAT,MARGEM_MEDIA
1,PERA,FRUTAS/FRUTOS,FLV IMPORTADOS,171350.0,436218.0,395336.0,224694.0,1227598.0,0.0389
1,BANANA,FRUTAS/FRUTOS,FLV IMPORTADOS,327600.0,138680.0,61500.0,45680.0,573460.0,-0.1295
1,PERA,FRUTAS/FRUTOS,FLV NACIONAIS,113820.0,263755.0,157700.0,26600.0,561875.0,0.0389
1,ALHO,TUBERCULOS,FLV IMPORTADOS,145554.0,163665.0,62410.0,24310.0,395939.0,0.3276
1,LIMAO,FRUTAS/FRUTOS,FLV IMPORTADOS,155734.32,139349.84,0.0,0.0,295084.16,0.2776
1,MACA,FRUTAS/FRUTOS,FLV IMPORTADOS,66300.0,28128.0,25660.0,5040.0,125128.0,0.0898
1,KIWI,FRUTAS/FRUTOS,FLV NACIONAIS,14300.0,63855.0,34650.0,0.0,112805.0,0.1671
1,AMEIXA,FRUTAS/FRUTOS,FLV IMPORTADOS,0.0,0.0,100377.0,12400.0,112777.0,0.1153
1,MACA,FRUTAS/FRUTOS,FLV NACIONAIS,19845.0,30680.0,40050.0,0.0,90575.0,0.0898
1,KIWI,FRUTAS/FRUTOS,FLV IMPORTADOS,42660.0,18900.0,0.0,18512.0,80072.0,0.1671
1,ALHO,TUBERCULOS,FLV NACIONAIS,14400.0,51850.0,0.0,0.0,66250.0,0.3276
1,AMEIXA,FRUTAS/FRUTOS,FLV NACIONAIS,0.0,0.0,55120.0,7800.0,62920.0,0.1153
1,FALSE,FRUTAS SECAS,FLV NACIONAIS,0.0,4410.0,18480.0,34560.0,57450.0,-0.0472
1,BANANA,FRUTAS/FRUTOS,FLV NACIONAIS,0.0,0.0,41340.0,6360.0,47700.0,-0.1295
1,FALSE,FRUTAS SECAS,FLV IMPORTADOS,0.0,11330.0,21905.0,0.0,33235.0,-0.0472
