CODFILIAL,CLIENTE,CODVENDEDOR,SEGMENTO,Jan_FAT,Fev_FAT,Mar_FAT,Abr_FAT,TOTAL_FAT,MARGEM_MEDIA
1,CLIENTE PADRAO,000057,FLV NACIONAIS,151365.0,383860.0,360660.0,75320.0,971205.0,0.0445
1,FRUTAS GABRIELE,000057,FLV IMPORTADOS,190340.0,85420.0,88605.0,30795.0,395160.0,0.0239
1,JPJS COMERCIO DE FRU,000057,FLV IMPORTADOS,50090.0,0.0,215002.0,50432.0,315524.0,0.0283
1,TROPICAL ARGENTINA,000059,FLV IMPORTADOS,155734.32,139349.84,0.0,0.0,295084.16,0.2776
1,GARCIA 3G COMERCIAL,001046,FLV IMPORTADOS,0.0,180978.0,64400.0,0.0,245378.0,-0.1552
1,AGRONASCENTE,000057,FLV IMPORTADOS,65880.0,88935.0,17420.0,16500.0,188735.0,0.3867
1,ALLIUM INDUSTRIA E C,000057,FLV IMPORTADOS,78074.0,60330.0,29700.0,0.0,168104.0,0.2846
1,FRUTABRAS RIO COMERC,001046,FLV IMPORTADOS,159600.0,0.0,0.0,0.0,159600.0,0.2188
1,OTHIL BH,001046,FLV IMPORTADOS,159600.0,0.0,0.0,0.0,159600.0,0.1922
1,WMA COMERCIO,001046,FLV IMPORTADOS,0.0,44800.0,25760.0,81500.0,152060.0,-0.0089
1,POMIBRAS,001046,FLV IMPORTADOS,0.0,153700.0,-4800.0,0.0,148900.0,-0.1695
1,FAZENDA SAO LUIS,000057,FLV IMPORTADOS,0.0,57120.0,27760.0,44311.0,129191.0,0.0464
2,PARANA SUPERMERCADOS,000998,FLV NACIONAIS,133422.9,135668.2,77514.3,5743.8,352349.2,0.1763
2,NIPPON SUPERMERCADOS,000998,FLV NACIONAIS,44465.75,47076.14,62977.8,12351.5,166871.19,0.1358
2,COMPANHIA SULAMERICA,001061,FLV NACIONAIS,63181.6,63492.0,25921.25,0.0,152594.85,0.1217
2,SUPER TRADICAO,000998,FLV NACIONAIS,28109.82,31946.2,48195.55,25306.97,133558.54,0.1286
2,CHAMA,000998,FLV NACIONAIS,36077.22,32071.01,19691.94,17010.6,104850.77,0.3178
2,CLIENTE PADRAO,001136,FLV NACIONAIS,44743.44,26478.89,24158.7,4598.6,99979.63,0.1344
2,A ANGELONI & CIA,001142,FLV NACIONAIS,19954.95,25580.4,45959.75,4313.6,95808.7,0.1222
2,CLIENTE PADRAO,000998,FLV NACIONAIS,33002.06,23856.31,29606.98,7676.33,94141.68,0.1344
2,MUFFATO COLOMBO,001142,FLV NACIONAIS,25714.8,47712.9,6021.5,12535.0,91984.2,0.1981
2,CLIENTE PADRAO,000059,FLV NACIONAIS,27945.5,20867.5,28730.4,6814.0,84357.4,0.1344
2,SUPER MUFFATO,001142,FLV NACIONAIS,4536.0,33905.2,31802.65,10717.2,80961.05,0.2028
2,MUFFATO MARINGA,001142,FLV NACIONAIS,6692.5,32645.6,9751.06,1989.0,51078.16,0.2164
3,COMPER,000084,FLV NACIONAIS,2204786.6,2106943.0,2593435.4,207120.0,7112285.0,0.0263
3,SDB COMERCIO DE ALIM,000084,FLV NACIONAIS,54679.0,56448.0,56448.0,0.0,167575.0,0.0
4,NO PONTO,000045,FLV NACIONAIS,1412988.08,1373873.91,1955681.06,495775.32,5238318.37,0.3371
4,ITALO SUPERMERCADOS,001033,FLV NACIONAIS,1062055.75,985847.93,1242913.34,309424.72,3600241.74,0.2788
4,CENTER SUPERMERCADOS,000947,FLV NACIONAIS,588072.64,527907.09,703847.29,201355.75,2021182.77,0.3138
4,AMAURI SUPERMERCADO,001070,FLV NACIONAIS,326853.14,348385.94,426335.14,86434.24,1188008.46,0.3547
4,CLIENTE PADRAO,000175,FLV NACIONAIS,366446.6,291781.18,345920.9,47629.4,1051778.08,0.3169
4,SUPER POLO,000947,FLV NACIONAIS,213808.24,217812.58,305005.58,87358.25,823984.65,0.3133
4,MANFROI SUPERMERCADO,000864,FLV NACIONAIS,213353.78,227291.4,265682.21,57342.74,763670.13,0.3589
4,SUPERMERCADO AMIGAO,000836,FLV NACIONAIS,76818.22,199217.22,294339.44,42661.1,613035.98,0.2138
4,MANFROI SUPERMERCADO,000946,FLV NACIONAIS,131028.36,184090.71,233575.06,59422.28,608116.41,0.3589
4,NO PONTO,000983,FLV NACIONAIS,195843.1,166107.78,191638.08,28132.41,581721.37,0.3371
4,NO PONTO,000035,FLV NACIONAIS,137149.23,164182.35,216946.37,28760.03,547037.98,0.3371
4,SUPERDIA ATACADO,001033,FLV NACIONAIS,85882.83,245892.6,156537.32,48072.6,536385.35,0.2667
4,ITALO SUPERMERCADOS,001033,SEGMENTO ORGANICOS,38431.26,55214.5,42499.59,9861.2,146006.55,0.2788
4,CENTER SUPERMERCADOS,000947,SEGMENTO ORGANICOS,66498.14,27296.86,24856.18,16148.09,134799.27,0.3138
4,SUPER POLO,000947,SEGMENTO ORGANICOS,23959.31,21132.71,15961.53,9321.98,70375.53,0.3133
4,NO PONTO,000045,SEGMENTO ORGANICOS,11671.39,21282.49,22291.35,2736.65,57981.88,0.3371
4,AMAURI SUPERMERCADO,001070,SEGMENTO ORGANICOS,17700.92,16540.47,12770.01,1556.84,48568.24,0.3547
4,MANFROI SUPERMERCADO,000864,SEGMENTO ORGANICOS,12901.29,10862.28,11540.65,4429.65,39733.87,0.3589
4,CLIENTE PADRAO,000175,SEGMENTO ORGANICOS,12305.91,5991.9,8575.95,2141.4,29015.16,0.3169
4,MANFROI SUPERMERCADO,000946,SEGMENTO ORGANICOS,8040.49,7393.33,7382.54,1482.29,24298.65,0.3589
4,NO PONTO,000983,SEGMENTO ORGANICOS,1718.01,2598.98,1416.2,261.95,5995.14,0.3371
4,SUPERDIA ATACADO,001033,SEGMENTO ORGANICOS,870.54,2870.35,872.0,0.0,4612.89,0.2667
4,NO PONTO,000035,SEGMENTO ORGANICOS,597.38,2284.39,1549.54,132.07,4563.38,0.3371
4,SUPERMERCADO AMIGAO,000836,SEGMENTO ORGANICOS,380.8,20.6,366.6,150.0,918.0,0.2138
5,QUELUZ,001003,FLV NACIONAIS,410773.62,458365.24,550870.34,154588.41,1574597.61,0.3027
5,COTRISAL,000953,FLV NACIONAIS,315599.12,304356.24,432837.38,96881.05,1149673.79,0.2665
5,SDB COMERCIO DE ALIM,001147,FLV NACIONAIS,294813.31,222592.54,420871.84,2289.69,940567.38,0.2743
5,ATACADAO,000953,FLV NACIONAIS,262410.26,235065.67,234548.8,185755.76,917780.49,0.309
5,SUPERMERCADO ROYAL,000993,FLV NACIONAIS,229116.2,227956.37,308352.6,85150.7,850575.87,0.2529
5,ATACADAO S.A,000953,FLV NACIONAIS,218670.87,201823.47,252286.37,124399.7,797180.41,0.2775
5,COOP REG ITAIPU,000877,FLV NACIONAIS,213883.51,231258.07,244476.64,52569.73,742187.95,0.2574
5,IMPERIAL SUPERMERCAD,000953,FLV NACIONAIS,232427.16,203535.87,201656.43,57508.2,695127.66,0.2823
5,COMERCIAL CELEIRO,001147,FLV NACIONAIS,327600.52,104486.31,265115.45,-2908.11,694294.17,0.3245
5,IMPERIAL SUPERMERCAD,000977,FLV NACIONAIS,180231.23,202955.46,235982.32,53228.8,672397.81,0.2823
5,TIO ROQUE ATACADO,000977,FLV NACIONAIS,158602.55,188351.88,224432.15,54058.2,625444.78,0.3172
5,ALBERTI,000881,FLV NACIONAIS,179530.47,164464.78,206517.59,46445.4,596958.24,0.2354
5,COOP REG ITAIPU,000877,SEGMENTO ORGANICOS,0.0,1100.0,0.0,0.0,1100.0,0.2574
5,QUELUZ,001003,SEGMENTO ORGANICOS,0.0,0.0,-12.8,0.0,-12.8,0.3027
5,ATACADAO,000953,SEGMENTO ORGANICOS,0.0,0.0,-13.8,0.0,-13.8,0.309
5,COTRISAL,000953,SEGMENTO ORGANICOS,0.0,0.0,-320.0,0.0,-320.0,0.2665
5,IMPERIAL SUPERMERCAD,000977,SEGMENTO ORGANICOS,0.0,0.0,-1180.0,0.0,-1180.0,0.2823
9,CHAMA,001079,FLV NACIONAIS,630040.5,591445.57,752091.2,309961.74,2283539.01,0.4105
9,IRMAOS MUFFATO,001010,FLV NACIONAIS,487426.35,430842.65,563238.7,208175.9,1689683.6,0.2297
9,LAR,000912,FLV NACIONAIS,257034.3,197605.0,245385.1,62968.25,762992.65,0.2832
9,ATACADAO S.A.,000912,FLV NACIONAIS,124813.49,133379.94,182298.67,74243.05,514735.15,0.2008
9,ITALO SUPERMERCADOS,001048,FLV NACIONAIS,188567.56,128354.73,129906.2,28139.5,474967.99,0.2445
9,MAXXI UMUARAMA,000912,FLV NACIONAIS,82959.1,119659.9,160064.2,52596.83,415280.03,0.2255
9,COPAGRIL,001048,FLV NACIONAIS,131797.27,109996.66,148888.26,23957.1,414639.29,0.2582
9,ALLMAYER,000957,FLV NACIONAIS,130382.4,88923.36,120392.06,36689.42,376387.24,0.2349
9,SUPERMERCADO CRISTO,001079,FLV NACIONAIS,76982.14,85231.34,124819.15,51517.86,338550.49,0.3038
9,MUFFATAO NEVA,000763,FLV NACIONAIS,98232.36,103383.6,105028.9,25133.0,331777.86,0.289
9,SUPER CERCAR,001048,FLV NACIONAIS,57970.35,76142.33,83391.2,31359.64,248863.52,0.3005
9,LAR COOPERATIVA AGRO,000912,FLV NACIONAIS,68737.35,55401.4,82037.7,23109.05,229285.5,0.3204
9,CHAMA,001079,SEGMENTO ORGANICOS,0.0,3775.2,12054.15,3546.2,19375.55,0.4105
9,ATACADAO S.A.,000912,SEGMENTO ORGANICOS,0.0,910.0,0.0,0.0,910.0,0.2008
9,SUPER CERCAR,001048,SEGMENTO ORGANICOS,0.0,0.0,814.44,0.0,814.44,0.3005
9,MAXXI UMUARAMA,000912,SEGMENTO ORGANICOS,0.0,390.0,0.0,375.0,765.0,0.2255
