FILIAL,Jan_FAT,Jan_MRG,Jan_META,Fev_FAT,Fev_MRG,Fev_META,Mar_FAT,Mar_MRG,Mar_META,Abr_FAT,Abr_MRG,Abr_META,Mai_FAT,Mai_MRG,Mai_META,Jun_FAT,Jun_MRG,Jun_META,Jul_FAT,Jul_MRG,Jul_META,Ago_FAT,Ago_MRG,Ago_META,Set_FAT,Set_MRG,Set_META,Out_FAT,Out_MRG,Out_META,Nov_FAT,Nov_MRG,Nov_META,Dez_FAT,Dez_MRG,Dez_META,TOTAL_FAT,TOTAL_META,MELHOR_MES,MELHOR_MES_FAT
Celso Ramos / Cristal Verde,14857522.51,0.2533,12900000.0,12834418.21,0.2303,12400000.0,13350812.68,0.2153,14030000.0,3248612.12,0.2228,13700000.0,0.0,0.0,11000000.0,0.0,0.0,11000000.0,0.0,0.0,11575000.0,0.0,0.0,11525000.0,0.0,0.0,13250000.0,0.0,0.0,13660000.0,0.0,0.0,14000000.0,0.0,0.0,18000000.0,44291365.52,157040000.0,Jan,14857522.51
Cantu - Vitorino,11419600.2,0.2641,11635000.0,11473372.94,0.2843,11570000.0,14563745.49,0.276,12550000.0,3567002.79,0.2657,12847600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41023721.42,48602600.0,Mar,14563745.49
Cantu - Chapecó,9975161.47,0.2771,10550000.0,9514794.12,0.2777,10410000.0,12064749.16,0.284,12000000.0,3665157.13,0.2626,10690000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35219861.88,43650000.0,Mar,12064749.16
Cantu - CD Cascavel,5128926.27,0.2571,5750000.0,4642207.29,0.2608,5650000.0,5665159.85,0.2584,5500000.0,1928830.26,0.2545,5280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17365123.67,22180000.0,Mar,5665159.85
Cantu - Sao Jorge - Industria 2,4983979.83,0.4617,0.0,4485347.15,0.4528,5000000.0,5272719.53,0.4799,4929132.0,706485.55,0.4417,5216000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15448532.06,15145132.0,Mar,5272719.53
Cantu - Sao Paulo,3866748.6,0.1173,6000000.0,3463712.9,0.1194,6000000.0,4988935.48,0.1938,6000000.0,1470954.27,0.1188,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13790351.25,24000000.0,Mar,4988935.48
Cantu - Curitiba,2845927.85,0.2098,3800000.0,2601694.08,0.2061,3800000.0,3374763.3,0.1955,3700000.0,950016.31,0.2136,3900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9772401.54,15200000.0,Mar,3374763.3
Cantu - Sao jose Ceasa,2363841.25,0.2259,2101000.0,2198732.68,0.2335,2100000.0,2464074.84,0.246,2300000.0,740555.56,0.2674,2200000.0,0.0,0.0,2000000.0,0.0,0.0,2200000.0,0.0,0.0,2200000.0,0.0,0.0,9200000.0,0.0,0.0,2300000.0,0.0,0.0,2500000.0,0.0,0.0,2000000.0,0.0,0.0,3000000.0,7767204.33,34101000.0,Mar,2464074.84
Cantu - Londrina,1055856.85,0.1994,1450000.0,1216725.58,0.1769,1450000.0,1502024.4,0.1539,1550000.0,604938.87,0.1976,1550000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4379545.7,6000000.0,Mar,1502024.4
Cantu - Importados Vitorino,1074063.32,0.2198,1000000.0,1355660.84,-0.0344,1000000.0,1030348.0,0.0909,1500000.0,405956.0,0.0139,2520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3866028.16,6020000.0,Fev,1355660.84
Cantu - Cuiaba,1707648.95,0.2334,2122000.0,1021103.43,0.2486,2600000.0,385604.53,0.2182,0.0,263728.47,0.578,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3378085.38,4723000.0,Jan,1707648.95
Cantu - Maringa,806944.04,0.1483,1350000.0,891308.36,0.1685,1350000.0,1000424.99,0.1627,1350000.0,289451.32,0.1612,1350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2988128.71,5400000.0,Mar,1000424.99
Cantu - Cuiaba Ceasa,242638.12,0.2662,0.0,320646.49,0.1246,0.0,450932.79,0.1732,0.0,172986.23,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187203.63,0.0,Mar,450932.79
Cantu - Foz do Iguacu,250603.48,0.1548,430000.0,296483.67,0.1469,430000.0,342511.2,0.1541,400000.0,119650.0,0.1573,370000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009248.35,1630000.0,Mar,342511.2
Cantu - Cascavel Box 2024,340171.08,0.2002,320000.0,225145.08,0.194,350000.0,316471.77,0.1998,320000.0,76723.86,0.1696,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958511.79,1290000.0,Jan,340171.08
Cantu - Osasco,0.0,0.0,0.0,0.0,0.0,0.0,14922.0,0.4148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14922.0,0.0,Mar,14922.0
